Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Best K-Fold F1 Score,Final Test Accuracy,Final Test Precision,Final Test Recall,Final Test F1 Score,Final Test FPR,Final Test FNR,Ranking Time Taken,Feature Selection Time Taken,Evaluation Time Taken,Total Time Taken
function,WFI-RF,rem_12,XGB,macro,3,"rate, system_mode, pressure_measurement, setpoint, gain, address, reset_rate, pump, control_scheme, cycle_time, deadband, solenoid",0.48799769003075055,0.8930688876341051,0.47810908426856286,0.49365704286964124,0.485241896073441,0.0,1.0,6.009905099868774,0.7496421337127686,6.0030364990234375,12.76258373260498
function,WFI-RF,rem_12,XGB,weighted,3,"rate, system_mode, pressure_measurement, setpoint, gain, address, reset_rate, pump, control_scheme, cycle_time, deadband, solenoid",0.8494261389710995,0.8930688876341051,0.7992035289455981,0.8930688876341051,0.8432961469150252,0.0,1.0,6.009905099868774,0.7496421337127686,6.006878852844238,12.766426086425781
function,WFI-RF,rem_13,XGB,micro,2,"rate, system_mode, pressure_measurement, length, setpoint, gain, address, reset_rate, pump, control_scheme, cycle_time, deadband, solenoid",0.8974766190224105,0.8930688876341051,0.8930688876341051,0.8930688876341051,0.8930688876341051,0.0,1.0,6.009905099868774,0.7496421337127686,6.008775234222412,12.768322467803955
function,WFI-RF,rem_13,XGB,macro,2,"rate, system_mode, pressure_measurement, length, setpoint, gain, address, reset_rate, pump, control_scheme, cycle_time, deadband, solenoid",0.48799769003075055,0.8930688876341051,0.47810908426856286,0.49365704286964124,0.485241896073441,0.0,1.0,6.009905099868774,0.7496421337127686,5.974445104598999,12.733992338180542
function,WFI-RF,rem_13,XGB,weighted,2,"rate, system_mode, pressure_measurement, length, setpoint, gain, address, reset_rate, pump, control_scheme, cycle_time, deadband, solenoid",0.8494261389710995,0.8930688876341051,0.7992035289455981,0.8930688876341051,0.8432961469150252,0.0,1.0,6.009905099868774,0.7496421337127686,6.024753570556641,12.784300804138184
function,WFI-RF,rem_14,XGB,micro,1,"rate, system_mode, pressure_measurement, length, setpoint, gain, address, reset_rate, pump, crc_rate, control_scheme, cycle_time, deadband, solenoid",0.8921828127757191,0.888481084133258,0.888481084133258,0.888481084133258,0.888481084133258,0.0,1.0,6.009905099868774,0.7496421337127686,5.997978448867798,12.75752568244934
function,WFI-RF,rem_14,XGB,macro,1,"rate, system_mode, pressure_measurement, length, setpoint, gain, address, reset_rate, pump, crc_rate, control_scheme, cycle_time, deadband, solenoid",0.4686674188691131,0.888481084133258,0.45913216652567734,0.46522309711286086,0.4588087824555916,0.0,1.0,6.009905099868774,0.7496421337127686,6.0445966720581055,12.804143905639648
function,WFI-RF,rem_14,XGB,weighted,1,"rate, system_mode, pressure_measurement, length, setpoint, gain, address, reset_rate, pump, crc_rate, control_scheme, cycle_time, deadband, solenoid",0.8440144920029528,0.888481084133258,0.7952937588375036,0.888481084133258,0.8385731277199515,0.0,1.0,6.009905099868774,0.7496421337127686,5.981295347213745,12.740842580795288
function,WFI-RF,RFE,RF,micro,12,"crc_rate, pressure_measurement, address",0.990029998235398,0.9874364765669114,0.9874364765669114,0.9874364765669114,0.9874364765669114,0.001440677966101695,0.1096938775510204,6.009905099868774,72.83505034446716,41.27362632751465,120.11858177185059
function,WFI-RF,RFE,RF,macro,12,"crc_rate, pressure_measurement, address",0.935479648318935,0.9874364765669114,0.9511900617019419,0.9059497805191693,0.9268945989745152,0.001440677966101695,0.1096938775510204,6.009905099868774,72.83505034446716,41.333850622177124,120.17880606651306
function,WFI-RF,RFE,RF,weighted,12,"crc_rate, pressure_measurement, address",0.9897677119986813,0.9874364765669114,0.9871201255451052,0.9874364765669114,0.9871252680088697,0.001440677966101695,0.1096938775510204,6.009905099868774,72.83505034446716,41.01783537864685,119.86279082298279
function,WFI-RF,SPFS,RF,micro,15,,0.9898535380271749,0.9870482778091474,0.9870482778091474,0.9870482778091474,0.9870482778091474,0.001440677966101695,0.11479591836734694,6.009905099868774,55.19765329360962,44.691874504089355,105.89943289756775
function,WFI-RF,SPFS,RF,macro,15,,0.9352320440419638,0.9870482778091474,0.9513574561915875,0.9010109999750733,0.9239767179627819,0.001440677966101695,0.11479591836734694,6.009905099868774,55.19765329360962,45.26116490364075,106.46872329711914
function,WFI-RF,SPFS,RF,weighted,15,,0.9895890387835182,0.9870482778091474,0.986697951700097,0.9870482778091474,0.9866880426020872,0.001440677966101695,0.11479591836734694,6.009905099868774,55.19765329360962,45.01278233528137,106.22034072875977
function,WFI-RF,None,RF,micro,15,,0.990029998235398,0.9870482778091474,0.9870482778091474,0.9870482778091474,0.9870482778091474,0.001440677966101695,0.11224489795918367,6.009905099868774,5.051201581954956,44.3569757938385,55.41808247566223
function,WFI-RF,None,RF,macro,15,,0.935479648318935,0.9870482778091474,0.9505109111354444,0.9006839022444316,0.9234204461351688,0.001440677966101695,0.11224489795918367,6.009905099868774,5.051201581954956,42.787384033203125,53.848490715026855
function,WFI-RF,None,RF,weighted,15,,0.9897677119986813,0.9870482778091474,0.9866904764780595,0.9870482778091474,0.9866865688971839,0.001440677966101695,0.11224489795918367,6.009905099868774,5.051201581954956,42.850823163986206,53.91192984580994
function,WFI-RF,rem_1,RF,micro,14,pressure_measurement,0.9902946885477325,0.98729531338227,0.98729531338227,0.98729531338227,0.98729531338227,0.001440677966101695,0.11224489795918367,6.009905099868774,5.051201581954956,38.32318830490112,49.38429498672485
function,WFI-RF,rem_1,RF,macro,14,pressure_measurement,0.9360961041803323,0.98729531338227,0.9507115997368878,0.9048155572917422,0.9260503627826585,0.001440677966101695,0.11224489795918367,6.009905099868774,5.051201581954956,37.193044900894165,48.254151582717896
function,WFI-RF,rem_1,RF,weighted,14,pressure_measurement,0.9900344843002006,0.98729531338227,0.9869806981412226,0.98729531338227,0.986979473166985,0.001440677966101695,0.11224489795918367,6.009905099868774,5.051201581954956,36.69192886352539,47.75303554534912
function,WFI-RF,rem_2,RF,micro,13,"pressure_measurement, address",0.990029998235398,0.9872247317899492,0.9872247317899492,0.9872247317899492,0.9872247317899492,0.001440677966101695,0.11224489795918367,6.009905099868774,5.051201581954956,38.2102952003479,49.27140188217163
function,WFI-RF,rem_2,RF,macro,13,"pressure_measurement, address",0.935479648318935,0.9872247317899492,0.9506975710278223,0.9046497198124719,0.9259562684249142,0.001440677966101695,0.11224489795918367,6.009905099868774,5.051201581954956,38.11381769180298,49.17492437362671
function,WFI-RF,rem_2,RF,weighted,13,"pressure_measurement, address",0.9897677119986813,0.9872247317899492,0.9869114261394519,0.9872247317899492,0.9869075063141163,0.001440677966101695,0.11224489795918367,6.009905099868774,5.051201581954956,37.71563124656677,48.7767379283905
function,WFI-RF,rem_3,RF,micro,12,"pressure_measurement, address, solenoid",0.9872948650079407,0.9851072840203275,0.9851072840203275,0.9851072840203275,0.9851072840203275,0.0023728813559322033,0.14795918367346939,6.009905099868774,5.051201581954956,38.12758183479309,49.18868851661682
function,WFI-RF,rem_3,RF,macro,12,"pressure_measurement, address, solenoid",0.9257813405682432,0.9850014116318464,0.9439463775236066,0.895712225512956,0.918165437631084,0.0019067796610169492,0.16071428571428573,6.009905099868774,5.051201581954956,37.9560329914093,49.01713967323303
function,WFI-RF,rem_3,RF,weighted,12,"pressure_measurement, address, solenoid",0.9868983914520721,0.9851072840203275,0.9847162034677527,0.9851072840203275,0.9847454296033002,0.0023728813559322033,0.14795918367346939,6.009905099868774,5.051201581954956,37.989696741104126,49.050803422927856
function,WFI-RF,rem_4,RF,micro,11,"control_scheme, pressure_measurement, address, solenoid",0.9870301746956062,0.9847543760587238,0.9847543760587238,0.9847543760587238,0.9847543760587238,0.002542372881355932,0.14285714285714285,6.009905099868774,5.051201581954956,39.81899046897888,50.88009715080261
