Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Accuracy,Precision,Recall,F1 Score,FPR,FNR,Ranking Time Taken,Feature Selection Time Taken,Evaluation Time Taken,Total Time Taken
function,WFI-RF,rem_6,RF,weighted,9,"pump, control_scheme, pressure_measurement, address, solenoid, system_mode",0.9759843657967963,0.9745635736737205,0.9759843657967963,0.9747735011312649,0.005959951840469722,0.3472245214299005,5.11919641494751,3.968240737915039,43.869654178619385,52.957091331481934
function,WFI-RF,rem_7,RF,micro,8,"pump, control_scheme, pressure_measurement, rate, address, solenoid, system_mode",0.9694819635794536,0.9694819635794536,0.9694819635794536,0.9694819635794536,0.00576849419880901,0.3427661062071267,5.11919641494751,3.968240737915039,36.51142907142639,45.59886622428894
function,WFI-RF,rem_7,RF,macro,8,"pump, control_scheme, pressure_measurement, rate, address, solenoid, system_mode",0.9694819635794536,0.9085313557610778,0.8328402713292695,0.8642543987655322,0.00576849419880901,0.3427661062071267,5.11919641494751,3.968240737915039,36.34497261047363,45.43240976333618
function,WFI-RF,rem_7,RF,weighted,8,"pump, control_scheme, pressure_measurement, rate, address, solenoid, system_mode",0.9694819635794536,0.9679579558282742,0.9694819635794536,0.9681506662302566,0.00576849419880901,0.3427661062071267,5.11919641494751,3.968240737915039,36.47236967086792,45.55980682373047
function,WFI-RF,rem_8,RF,micro,7,"pump, control_scheme, pressure_measurement, rate, deadband, address, solenoid, system_mode",0.9585681791415939,0.9585681791415939,0.9585681791415939,0.9585681791415939,0.005567602669119742,0.4488553914487142,5.11919641494751,3.968240737915039,33.25551414489746,42.34295129776001
function,WFI-RF,rem_8,RF,macro,7,"pump, control_scheme, pressure_measurement, rate, deadband, address, solenoid, system_mode",0.9585681791415939,0.88663014345703,0.7842880340255377,0.8253375041221878,0.005567602669119742,0.4488553914487142,5.11919641494751,3.968240737915039,33.54824161529541,42.63567876815796
function,WFI-RF,rem_8,RF,weighted,7,"pump, control_scheme, pressure_measurement, rate, deadband, address, solenoid, system_mode",0.9585681791415939,0.9558244617903968,0.9585681791415939,0.9558203240143491,0.005567602669119742,0.4488553914487142,5.11919641494751,3.968240737915039,33.20355939865112,42.29099655151367
function,WFI-RF,rem_9,RF,micro,6,"pump, control_scheme, pressure_measurement, rate, deadband, gain, address, solenoid, system_mode",0.9441253228649696,0.9441253228649696,0.9441253228649696,0.9441253228649696,0.004483588551554651,0.5632124222059492,5.11919641494751,3.968240737915039,35.783663272857666,44.871100425720215
function,WFI-RF,rem_9,RF,macro,6,"pump, control_scheme, pressure_measurement, rate, deadband, gain, address, solenoid, system_mode",0.9441253228649696,0.8712889620381515,0.7242703425605137,0.7761744016460387,0.004483588551554651,0.5632124222059492,5.11919641494751,3.968240737915039,35.75716686248779,44.84460401535034
function,WFI-RF,rem_9,RF,weighted,6,"pump, control_scheme, pressure_measurement, rate, deadband, gain, address, solenoid, system_mode",0.9441253228649696,0.9395525937449174,0.9441253228649696,0.9383031738256319,0.004483588551554651,0.5632124222059492,5.11919641494751,3.968240737915039,35.27824425697327,44.365681409835815
function,WFI-RF,rem_10,RF,micro,5,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, solenoid, system_mode",0.9291089576790508,0.9291089576790508,0.9291089576790508,0.9291089576790508,0.0034954928955601297,0.7319543805200173,5.11919641494751,3.968240737915039,35.00999188423157,44.097429037094116
function,WFI-RF,rem_10,RF,macro,5,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, solenoid, system_mode",0.9291089576790508,0.8606095320684319,0.6470367825619464,0.7007313685052075,0.0034954928955601297,0.7319543805200173,5.11919641494751,3.968240737915039,34.93976593017578,44.02720308303833
function,WFI-RF,rem_10,RF,weighted,5,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, solenoid, system_mode",0.9291089576790508,0.9217797630046475,0.9291089576790508,0.9169779077567132,0.0034954928955601297,0.7319543805200173,5.11919641494751,3.968240737915039,34.6603422164917,43.74777936935425
function,WFI-RF,rem_11,RF,micro,4,"pump, control_scheme, pressure_measurement, rate, deadband, gain, setpoint, address, reset_rate, solenoid, system_mode",0.9054639350595298,0.9054639350595298,0.9054639350595298,0.9054639350595298,0.00019133411809145044,0.9987299539356307,5.11919641494751,3.968240737915039,23.58830714225769,32.67574429512024
