Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Best K-Fold F1 Score,Accuracy,Precision,Recall,F1 Score,FPR,FNR,Ranking Time,Feature Selection Time,Evaluation Time,Total Time
response,WFI-RF,None,RF,weighted,12,,0.9767,0.9766,0.9766,0.9766,0.9763,0.001,0.0633,7.9243,7.0032,60.7774,75.705
response,WFI-RF,rem_1,RF,micro,11,rate,0.9779,0.9748,0.9748,0.9748,0.9748,0.0009,0.0696,7.9243,7.0032,65.1206,80.0482
response,WFI-RF,rem_1,RF,weighted,11,rate,0.9776,0.9748,0.9747,0.9748,0.9745,0.0009,0.0696,7.9243,7.0032,64.0405,78.968
response,WFI-RF,rem_2,RF,micro,10,"rate, control_scheme",0.9771,0.9749,0.9749,0.9749,0.9749,0.001,0.0677,7.9243,7.0032,66.3146,81.2421
response,WFI-RF,rem_2,RF,weighted,10,"rate, control_scheme",0.9769,0.9749,0.9748,0.9749,0.9746,0.001,0.0677,7.9243,7.0032,67.4525,82.3801
response,WFI-RF,rem_3,RF,micro,9,"rate, pump, control_scheme",0.9766,0.9741,0.9741,0.9741,0.9741,0.0009,0.0645,7.9243,7.0032,71.971,86.8986
response,WFI-RF,rem_3,RF,weighted,9,"rate, pump, control_scheme",0.9763,0.9741,0.974,0.9741,0.9738,0.0009,0.0645,7.9243,7.0032,71.9843,86.9118
response,WFI-RF,rem_4,RF,micro,8,"rate, pump, solenoid, control_scheme",0.9739,0.9718,0.9718,0.9718,0.9718,0.0009,0.0735,7.9243,7.0032,57.2845,72.212
response,WFI-RF,rem_4,RF,weighted,8,"rate, pump, solenoid, control_scheme",0.9735,0.9718,0.9717,0.9718,0.9714,0.0009,0.0735,7.9243,7.0032,57.8673,72.7948
response,WFI-RF,rem_5,RF,micro,7,"system_mode, pump, control_scheme, solenoid, rate",0.9726,0.9696,0.9696,0.9696,0.9696,0.001,0.0741,7.9243,7.0032,64.9747,79.9022
response,WFI-RF,rem_5,RF,weighted,7,"system_mode, pump, control_scheme, solenoid, rate",0.9722,0.9696,0.9694,0.9696,0.9691,0.001,0.0741,7.9243,7.0032,62.4916,77.4191
response,WFI-RF,rem_6,RF,micro,6,"system_mode, pump, control_scheme, solenoid, rate, gain",0.9704,0.9672,0.9672,0.9672,0.9672,0.0017,0.078,7.9243,7.0032,68.4505,83.3781
response,WFI-RF,rem_6,RF,weighted,6,"system_mode, pump, control_scheme, solenoid, rate, gain",0.97,0.9672,0.9668,0.9672,0.9667,0.0017,0.078,7.9243,7.0032,68.5019,83.4295
response,WFI-RF,rem_7,RF,micro,5,"system_mode, pump, control_scheme, solenoid, cycle_time, rate, gain",0.9662,0.9643,0.9643,0.9643,0.9643,0.0015,0.0863,7.9243,7.0032,74.4042,89.3318
